Loading filament at {extruder_temp} for {extrude_len}mm at {speed/60} mm/s;Загрузка филамента с температурой {extruder_temp} на {extrude_len} мм со скоростью {speed/60} мм/с
Cutting the filament;Отрезаем пруток
Loading filament;Вставляю пруток
Heating the nozzle to {extruder_temp} degrees;Прогреваю сопло до {extruder_temp} градусов
Drop filament {filament_drop_length} + {filament_drop_length_add}. Speed {filament_load_speed};Сброс филамента {filament_drop_length} + {filament_drop_length_add}. Скорость {filament_load_speed}
Extracting filament from the extruder;Извлечение филамента из экструдера
